,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,Just Can't Get Enough,Depeche Mode,1981-11-02,False,spotify:track:0qi4b1l0eT3jpzeNHeFXDT,75,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/0qi4b1l0eT3jpzeNHeFXDT,762310PdDnwsDxAQxzQkfX,0.766,0.772,0,-9.362,1,0.0353,0.403,0.0584,0.183,0.919,128.168,audio_features,0qi4b1l0eT3jpzeNHeFXDT,spotify:track:0qi4b1l0eT3jpzeNHeFXDT,https://api.spotify.com/v1/tracks/0qi4b1l0eT3jpzeNHeFXDT,https://api.spotify.com/v1/audio-analysis/0qi4b1l0eT3jpzeNHeFXDT,220893,4
11,Always on My Mind,Pet Shop Boys,1998-03-31,False,spotify:track:07ABETRdek3ACMpRPvQuaT,72,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/07ABETRdek3ACMpRPvQuaT,2ycnb8Er79LoH2AsR5ldjh,0.533,0.783,7,-10.61,1,0.0366,0.0116,0.0565,0.186,0.726,124.874,audio_features,07ABETRdek3ACMpRPvQuaT,spotify:track:07ABETRdek3ACMpRPvQuaT,https://api.spotify.com/v1/tracks/07ABETRdek3ACMpRPvQuaT,https://api.spotify.com/v1/audio-analysis/07ABETRdek3ACMpRPvQuaT,234907,4
12,Never Gonna Give You Up,Rick Astley,1987-11-12,False,spotify:track:4uLU6hMCjMI75M1A2tKUQC,6,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/4uLU6hMCjMI75M1A2tKUQC,0gxyHStUsqpMadRV0Di1Qt,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,audio_features,4uLU6hMCjMI75M1A2tKUQC,spotify:track:4uLU6hMCjMI75M1A2tKUQC,https://api.spotify.com/v1/tracks/4uLU6hMCjMI75M1A2tKUQC,https://api.spotify.com/v1/audio-analysis/4uLU6hMCjMI75M1A2tKUQC,213573,4
13,Karma Chameleon - Remastered 2002,Culture Club,1983-10-01,False,spotify:track:2wSAWEYUHkt92X4SBAPqZE,77,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/2wSAWEYUHkt92X4SBAPqZE,6kz53iCdBSqhQCZ21CoLcc,0.668,0.73,10,-7.182,1,0.0366,0.225,0.0,0.188,0.894,92.049,audio_features,2wSAWEYUHkt92X4SBAPqZE,spotify:track:2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/tracks/2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/audio-analysis/2wSAWEYUHkt92X4SBAPqZE,252773,4
14,Man! I Feel Like A Woman!,Shania Twain,1997,False,spotify:track:0Xd1XT0mlPMTK5uslC6pzl,0,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/0Xd1XT0mlPMTK5uslC6pzl,5e4Dhzv426EvQe3aDb64jL,0.675,0.888,10,-3.018,1,0.0439,0.642,0.0,0.36,0.74,124.961,audio_features,0Xd1XT0mlPMTK5uslC6pzl,spotify:track:0Xd1XT0mlPMTK5uslC6pzl,https://api.spotify.com/v1/tracks/0Xd1XT0mlPMTK5uslC6pzl,https://api.spotify.com/v1/audio-analysis/0Xd1XT0mlPMTK5uslC6pzl,233000,4
15,Domino Dancing - 2001 Remaster,Pet Shop Boys,1988-10-11,False,spotify:track:0R4mVKev4tWhSs1JSv7h1g,0,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/0R4mVKev4tWhSs1JSv7h1g,2ycnb8Er79LoH2AsR5ldjh,0.642,0.979,4,-4.102,0,0.0462,0.066,0.135,0.0259,0.788,110.026,audio_features,0R4mVKev4tWhSs1JSv7h1g,spotify:track:0R4mVKev4tWhSs1JSv7h1g,https://api.spotify.com/v1/tracks/0R4mVKev4tWhSs1JSv7h1g,https://api.spotify.com/v1/audio-analysis/0R4mVKev4tWhSs1JSv7h1g,460800,4
16,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,0NKDgy9j66h3DLnN8qu1bB,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
16,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,5MspMQqdVbdwP6ax3GXqum,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
16,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,7gcCQIlkkfbul5Mt0jBQkg,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
16,Sweet Dreams (Are Made of This) - Remastered,Annie Lennox,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,0NKDgy9j66h3DLnN8qu1bB,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
16,Sweet Dreams (Are Made of This) - Remastered,Annie Lennox,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,5MspMQqdVbdwP6ax3GXqum,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
16,Sweet Dreams (Are Made of This) - Remastered,Annie Lennox,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,7gcCQIlkkfbul5Mt0jBQkg,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
16,Sweet Dreams (Are Made of This) - Remastered,Dave Stewart,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,0NKDgy9j66h3DLnN8qu1bB,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
16,Sweet Dreams (Are Made of This) - Remastered,Dave Stewart,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,5MspMQqdVbdwP6ax3GXqum,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
16,Sweet Dreams (Are Made of This) - Remastered,Dave Stewart,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,7gcCQIlkkfbul5Mt0jBQkg,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
17,She Drives Me Crazy,Fine Young Cannibals,1988,False,spotify:track:2BPfKiV9U0CR1dpUgeUwuH,0,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/2BPfKiV9U0CR1dpUgeUwuH,20p5D2KrE8CGuOjHtxsyTp,0.799,0.687,2,-5.682,1,0.0431,0.193,0.000188,0.0307,0.965,108.804,audio_features,2BPfKiV9U0CR1dpUgeUwuH,spotify:track:2BPfKiV9U0CR1dpUgeUwuH,https://api.spotify.com/v1/tracks/2BPfKiV9U0CR1dpUgeUwuH,https://api.spotify.com/v1/audio-analysis/2BPfKiV9U0CR1dpUgeUwuH,215773,4
18,Girl You Know It's True,Milli Vanilli,2013-07-26,False,spotify:track:0C7dYeCLF6ukChtW64UNge,63,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/0C7dYeCLF6ukChtW64UNge,3vRclCt9VnNhYIxFMQCxuM,0.772,0.822,10,-5.649,0,0.123,0.00797,0.00148,0.457,0.526,97.718,audio_features,0C7dYeCLF6ukChtW64UNge,spotify:track:0C7dYeCLF6ukChtW64UNge,https://api.spotify.com/v1/tracks/0C7dYeCLF6ukChtW64UNge,https://api.spotify.com/v1/audio-analysis/0C7dYeCLF6ukChtW64UNge,198573,4
19,Losing My Religion,R.E.M.,1991-03-12,False,spotify:track:2wVXSc0IrQVodHESUxVUJA,0,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/2wVXSc0IrQVodHESUxVUJA,4KWTAlx2RvbpseOGMEmROg,0.664,0.852,9,-4.996,0,0.029,0.174,0.0,0.1,0.807,125.632,audio_features,2wVXSc0IrQVodHESUxVUJA,spotify:track:2wVXSc0IrQVodHESUxVUJA,https://api.spotify.com/v1/tracks/2wVXSc0IrQVodHESUxVUJA,https://api.spotify.com/v1/audio-analysis/2wVXSc0IrQVodHESUxVUJA,268427,4
20,Sweet Child O' Mine,Guns N' Roses,1987-07-21,True,spotify:track:7o2CTH4ctstm8TNelqjb51,67,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51,3qm84nBOXUEQ2vnTfUTTFC,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,audio_features,7o2CTH4ctstm8TNelqjb51,spotify:track:7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/tracks/7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/audio-analysis/7o2CTH4ctstm8TNelqjb51,354520,4
21,Livin' On A Prayer,Bon Jovi,1986-01-01,False,spotify:track:2tyW1uBUnYMKAFEfKDKi9B,0,uzgncjk69hurd4vd5njivoapz,https://open.spotify.com/track/2tyW1uBUnYMKAFEfKDKi9B,58lV9VcRSjABbAbfWS6skp,0.559,0.687,0,-10.912,1,0.0311,0.0591,3.59e-05,0.0896,0.854,122.666,audio_features,2tyW1uBUnYMKAFEfKDKi9B,spotify:track:2tyW1uBUnYMKAFEfKDKi9B,https://api.spotify.com/v1/tracks/2tyW1uBUnYMKAFEfKDKi9B,https://api.spotify.com/v1/audio-analysis/2tyW1uBUnYMKAFEfKDKi9B,250307,4
