,song,artist,date,explicit,uri_cancion,popularity,ironhacker,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
611,Light House,Future Islands,2014-03-24,False,spotify:track:2nWCQC688OgFKIfzk6bqKk,50,miguel.1962.mas,https://open.spotify.com/track/2nWCQC688OgFKIfzk6bqKk,1WvvwcQx0tj6NdDhZZ2zZz,0.512,0.821,9,-7.442,0,0.0334,0.0696,0.335,0.0998,0.4,149.988,audio_features,2nWCQC688OgFKIfzk6bqKk,spotify:track:2nWCQC688OgFKIfzk6bqKk,https://api.spotify.com/v1/tracks/2nWCQC688OgFKIfzk6bqKk,https://api.spotify.com/v1/audio-analysis/2nWCQC688OgFKIfzk6bqKk,287147,4
612,Volume 3 (Star Wars And Other Hits) - Original 12 Inch Version,Stars On 45,1984,False,spotify:track:5UToj1jQ4Qq2QFxBW0aDWD,32,miguel.1962.mas,https://open.spotify.com/track/5UToj1jQ4Qq2QFxBW0aDWD,4r8b3Hr0AMhzhAg75le0Gx,0.604,0.783,2,-5.328,1,0.102,0.0329,0.541,0.363,0.823,121.259,audio_features,5UToj1jQ4Qq2QFxBW0aDWD,spotify:track:5UToj1jQ4Qq2QFxBW0aDWD,https://api.spotify.com/v1/tracks/5UToj1jQ4Qq2QFxBW0aDWD,https://api.spotify.com/v1/audio-analysis/5UToj1jQ4Qq2QFxBW0aDWD,316080,4
613,I'm Not In Love,Kelsey Lu,2019-04-19,False,spotify:track:7InHgiDyJ0GtvnIVslWNPK,56,miguel.1962.mas,https://open.spotify.com/track/7InHgiDyJ0GtvnIVslWNPK,0fEfMW5bypHZ0A8eLnhwj5,0.191,0.441,4,-13.191,1,0.0751,0.588,0.0993,0.11,0.0409,86.073,audio_features,7InHgiDyJ0GtvnIVslWNPK,spotify:track:7InHgiDyJ0GtvnIVslWNPK,https://api.spotify.com/v1/tracks/7InHgiDyJ0GtvnIVslWNPK,https://api.spotify.com/v1/audio-analysis/7InHgiDyJ0GtvnIVslWNPK,414467,3
614,He Ain't Heavy He's My Brother - 1998 Remaster,The Hollies,1970-11-01,False,spotify:track:6k5QsifpMWtY5ilnzBZ0u4,62,miguel.1962.mas,https://open.spotify.com/track/6k5QsifpMWtY5ilnzBZ0u4,6waa8mKu91GjzD4NlONlNJ,0.304,0.421,7,-7.769,1,0.0293,0.46,4.03e-05,0.163,0.216,75.928,audio_features,6k5QsifpMWtY5ilnzBZ0u4,spotify:track:6k5QsifpMWtY5ilnzBZ0u4,https://api.spotify.com/v1/tracks/6k5QsifpMWtY5ilnzBZ0u4,https://api.spotify.com/v1/audio-analysis/6k5QsifpMWtY5ilnzBZ0u4,262267,4
615,Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando),Tony Orlando & Dawn,2001-01-01,False,spotify:track:2EnzSQ4CcxxpBrTGvS85Wz,58,miguel.1962.mas,https://open.spotify.com/track/2EnzSQ4CcxxpBrTGvS85Wz,72NXpYBIaTfEeAAsxXLs0P,0.572,0.763,5,-7.474,1,0.053,0.245,0.0,0.0552,0.653,88.133,audio_features,2EnzSQ4CcxxpBrTGvS85Wz,spotify:track:2EnzSQ4CcxxpBrTGvS85Wz,https://api.spotify.com/v1/tracks/2EnzSQ4CcxxpBrTGvS85Wz,https://api.spotify.com/v1/audio-analysis/2EnzSQ4CcxxpBrTGvS85Wz,207360,4
615,Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando),Tony Orlando & Dawn,2001-01-01,False,spotify:track:2EnzSQ4CcxxpBrTGvS85Wz,58,miguel.1962.mas,https://open.spotify.com/track/2EnzSQ4CcxxpBrTGvS85Wz,6PNZ6ZfwWLiUA2BrranFl3,0.572,0.763,5,-7.474,1,0.053,0.245,0.0,0.0552,0.653,88.133,audio_features,2EnzSQ4CcxxpBrTGvS85Wz,spotify:track:2EnzSQ4CcxxpBrTGvS85Wz,https://api.spotify.com/v1/tracks/2EnzSQ4CcxxpBrTGvS85Wz,https://api.spotify.com/v1/audio-analysis/2EnzSQ4CcxxpBrTGvS85Wz,207360,4
615,Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando),Tony Orlando,2001-01-01,False,spotify:track:2EnzSQ4CcxxpBrTGvS85Wz,58,miguel.1962.mas,https://open.spotify.com/track/2EnzSQ4CcxxpBrTGvS85Wz,72NXpYBIaTfEeAAsxXLs0P,0.572,0.763,5,-7.474,1,0.053,0.245,0.0,0.0552,0.653,88.133,audio_features,2EnzSQ4CcxxpBrTGvS85Wz,spotify:track:2EnzSQ4CcxxpBrTGvS85Wz,https://api.spotify.com/v1/tracks/2EnzSQ4CcxxpBrTGvS85Wz,https://api.spotify.com/v1/audio-analysis/2EnzSQ4CcxxpBrTGvS85Wz,207360,4
615,Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando),Tony Orlando,2001-01-01,False,spotify:track:2EnzSQ4CcxxpBrTGvS85Wz,58,miguel.1962.mas,https://open.spotify.com/track/2EnzSQ4CcxxpBrTGvS85Wz,6PNZ6ZfwWLiUA2BrranFl3,0.572,0.763,5,-7.474,1,0.053,0.245,0.0,0.0552,0.653,88.133,audio_features,2EnzSQ4CcxxpBrTGvS85Wz,spotify:track:2EnzSQ4CcxxpBrTGvS85Wz,https://api.spotify.com/v1/tracks/2EnzSQ4CcxxpBrTGvS85Wz,https://api.spotify.com/v1/audio-analysis/2EnzSQ4CcxxpBrTGvS85Wz,207360,4
616,Blinding Lights,The Weeknd,2020-03-20,False,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,92,miguel.1962.mas,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
617,Starboy,The Weeknd,2016-11-25,True,spotify:track:7MXVkk9YMctZqd1Srtv4MB,94,miguel.1962.mas,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,1Xyo4u8uXC1ZmMpatF05PJ,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,audio_features,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,230453,4
