,artist_name,album_name,release_date,total_tracks
2,Various Artists,Techno Valencia Mix (The History) Back To The 90'S Vol. 2,2014-07-14,24
3,Various Artists,Mdt Radio Hits: Los Nº1 De La Emisora Del Remember Mix,2014-06-23,27
5,Various Artists,Techno Valencia 5 - El Mejor Techno De Los 90,2009-11-09,12
6,Various Artists,Años 90'S Vol.5 - Lo Mejor De Los 90,2009-04-23,10
7,Various Artists,Años 90'S Vol.4 - Lo Mejor De Los 90,2009-04-23,10
8,Various Artists,Años 90'S Vol.3 - Lo Mejor De Los 90,2009-04-21,10
9,Various Artists,Techno Valencia Mix (The History) Back To The 90S,2007,27
10,Various Artists,Sonido De Valencia 1990-1999,1991,31
0,Cher,Dancing Queen,2018-09-28,10
1,Cher,Closer To The Truth,2013-09-24,11
3,Cher,Closer To The Truth (Deluxe Edition),2013-09-20,14
4,Cher,Living Proof,2001-11-12,12
6,Cher,Believe,1998,10
7,Cher,It'S A Man'S World,1995-11-06,14
9,Cher,Love Hurts,1991-06-11,12
10,Cher,Heart Of Stone,1989-01-01,12
11,Cher,Cher,1987-01-01,10
12,Cher,I Paralyze (Expanded Edition),1982-05-28,19
13,Cher,Prisoner,1979-10-22,8
14,Cher,Take Me Home,1979-01-01,9
15,Cher,Dark Lady,1974-01-01,10
16,Cher,Half Breed,1973-01-01,10
17,Cher,Half-Breed,1973-01-01,11
18,Cher,Foxy Lady,1972-01-01,10
19,Cher,"Gypsys, Tramps & Thieves",1971-01-01,10
0,Scatman John,Take Your Time,1999-06-01,12
1,Scatman John,Everybody Jam!,1996-10-30,14
2,Scatman John,Scatman'S World,1995-06-01,13
3,Tiny Ghost,Crazy (Feat. Scatman John),2022-04-01,1
4,Scatman John,Scatman & Hatman,2019-09-13,1
5,Scatman John,Scatman & Hatman (Dj Skællig Clubmix),2019-09-13,2
6,Scatman John,"Scatman & Hatman"" - Dj Skaellig Clubmix",2019-07-18,2
7,Scatman John,Scatman & Hatman (Dj Skaellig Clubmix) - Single,2019-07-18,2
9,Scatman John,Scatman & Hatman - Single,2019-07-04,1
12,Scatman John,Ska-Ba-Bop-Ba-Dop-Bop Dj Kadozer Mix,2003-01-01,3
13,Scatman John,Ichi Ni San….Go,1999-06-04,3
15,Scatman John,Scatmambo (Patricia),1998-08-01,5
17,Scatman John,Popstar,1996-07-07,1
18,Scatman John,Let It Go,1996-01-01,4
0,Mr. President,Best Tracks,2016-08-28,12
1,Mr. President,Up'N Away,2014-04-10,15
2,Mr. President,We See,2014-04-10,15
3,Mr. President,Forever & One Day,2003-08-04,19
4,Mr. President,Space Gate,1999-06-01,14
5,Mr. President,Night Club,1997-08-25,13
6,Mr. President,We See The Same Sun,1996-05-17,15
7,Mr. President,Up'N Away - The Album,1995-03-23,16
8,9Tendo,Coco Jamboo,2020-09-18,1
9,Mr. President,Happy People,1998-06-02,6
10,Mr. President,Take Me To The Limit,1997-07-01,6
11,Mr. President,Coco Jamboo (Christmas Version),1996-11-01,1
14,Mr. President,Top Hits Collection,2016-10-24,20
15,Insesto Shroomin,Throbert,2022-10-09,8
16,Various Artists,Worlds Greatest 90'S Dance,2020-12-25,25
17,Various Artists,Worlds Greatest 90S Dance,2020-12-10,22
18,Various Artists,Orbital Dance Hits Anos 90,2019-05-28,46
19,Various Artists,16 Top World Charts 96,2019-04-16,15
0,Me & My,De Første Fra - Me & My,2012-10-26,15
1,Me & My,Me & My The Ultimate Collection,2007-04-06,21
2,Me & My,Fly High,2001-04-27,12
3,Me & My,Let The Love Go On,1999-03-25,10
4,Me & My,Me & My,1995,11
5,Me & My,Home,2023-04-13,1
6,Me & My,Irter,2023-04-13,1
7,Me & My,Jhonny,2023-04-13,1
8,Me & My,Just,2023-04-13,1
9,Me & My,Kend,2023-04-13,1
10,Me & My,Fenix,2022-03-05,1
11,Me & My,Soltera,2022-02-28,1
12,Me & My,Vega,2022-02-28,1
13,Me & My,Clave,2022-02-28,1
14,Me & My,Farsante,2022-02-28,1
15,Me & My,Four,2022-02-28,1
16,Me & My,Two Are Stronger Than One (Stormby Remixes),2016-11-11,3
17,Laywell,Dub-I-Dub,2010-05-17,6
18,Me & My,Too Much Christmas,2007-01-01,1
19,Me & My,La La Superstar,2001-01-01,3
0,Corona,My Generation (Remixed),2013-07-23,11
1,Corona,My Y Generation (Remixed),2012-05-28,10
2,Corona,My Y Generation Remixed,2012-05-25,11
3,Corona,Y Generation,2011-12-02,12
5,Simon From Deep Divas,The Rhythm Of The Night,2010-10-04,6
9,Corona,The Power Of Love (Remixes),2023-02-16,6
12,Corona,The Power Of Love (Remix),2022-01-21,2
13,Corona,"Baby, I Don'T Care (2K20 Remixes)",2020-08-21,8
14,Sean Finn,The Rhythm Of The Night (Dj Pp Remix),2019-05-31,2
15,Sean Finn,The Rhythm Of The Night (Remixes),2019-03-29,5
19,Corona,Stay With Me,2014-02-17,1
0,Tss Proyect,"Tracks, Vol. 3 (1998-2010)",2020-11-13,24
1,Tss Proyect,Italian Memories (The Album),2019-04-24,6
