,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,12177422298,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,0NKDgy9j66h3DLnN8qu1bB,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
10,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,12177422298,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,5MspMQqdVbdwP6ax3GXqum,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
10,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,12177422298,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,7gcCQIlkkfbul5Mt0jBQkg,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
10,Sweet Dreams (Are Made of This) - Remastered,Annie Lennox,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,12177422298,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,0NKDgy9j66h3DLnN8qu1bB,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
10,Sweet Dreams (Are Made of This) - Remastered,Annie Lennox,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,12177422298,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,5MspMQqdVbdwP6ax3GXqum,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
10,Sweet Dreams (Are Made of This) - Remastered,Annie Lennox,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,12177422298,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,7gcCQIlkkfbul5Mt0jBQkg,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
10,Sweet Dreams (Are Made of This) - Remastered,Dave Stewart,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,12177422298,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,0NKDgy9j66h3DLnN8qu1bB,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
10,Sweet Dreams (Are Made of This) - Remastered,Dave Stewart,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,12177422298,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,5MspMQqdVbdwP6ax3GXqum,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
10,Sweet Dreams (Are Made of This) - Remastered,Dave Stewart,1983-01-04,False,spotify:track:1TfqLAPs4K3s2rJMoCokcS,84,12177422298,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS,7gcCQIlkkfbul5Mt0jBQkg,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
11,Africa,TOTO,1982-04-08,False,spotify:track:2374M0fQpWi3dLnB54qaLX,85,12177422298,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,0PFtn5NtBbbUNbU9EAmIWF,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4
