,artist_name,album_name,release_date,total_tracks
12,Various Artists,Philadelphia International Records: The John Morales M+M Remixes,2021-12-03,10
13,Various Artists,Top 40 - Philly Soul,2021-11-05,44
14,Various Artists,"Philadelphia International Records: The 12"" Mixes, Volume 2",2021-10-08,23
15,Various Artists,Philadelphia International Records: The Mike Maurro Remixes,2021-09-17,14
16,Various Artists,"Philadelphia International Records: The Remixes, Volume 2",2021-08-13,22
17,Various Artists,Philadelphia International Records: The Re-Edits,2021-07-09,20
18,Various Artists,The Best Of Philadelphia International Records,2021-05-28,12
19,Various Artists,Philadelphia International Records: The Tom Moulton Remixes,2021-05-14,30
0,The Three Degrees,The Roulette Years,2019-10-11,35
1,The Three Degrees,Strategy: Our Tribute To Philadelphia,2016-03-04,9
2,The Three Degrees,Maybe (Expanded Edition),2016-01-15,21
3,The Three Degrees,So Much Love (Expanded Edition),2016-01-15,22
4,The Three Degrees,It'S Christmas Time,2015-06-17,16
5,The Three Degrees,A Soulful Christmas,2015-06-15,15
6,The Three Degrees,Legends (Rerecorded),2015-03-30,18
7,The Three Degrees,T.S.O.P. The Sound Of Philadelphia (Live In Concert),2014-03-28,12
8,The Three Degrees,Greatest Hits Remixed,2011-05-17,10
9,The Three Degrees,Christmas With The Three Degrees,2008-05-01,16
10,The Three Degrees,Collections,2006-03-27,10
11,The Three Degrees,The Heaven I Need,1985,8
13,The Three Degrees,The Three Degrees Live,1975-12-01,10
14,The Three Degrees,International (Expanded Edition),1975-06-01,16
15,The Three Degrees,International,1975-01-01,10
16,The Three Degrees,The Three Degrees,1973,8
17,The Three Degrees,Holding Back (Lounge Remix),2021-03-01,1
18,The Three Degrees,Holding Back,2019-06-01,2
19,The Three Degrees,Get Your Love Back (Uk Chart Top 40 - No. 34),2018-12-20,1
