,artist_name,album_name,release_date,total_tracks
16,Rauw Alejandro,Gracias Por Nada,2022-02-24,1
17,Dímelo Flow,Suelta,2022-02-17,1
18,Rauw Alejandro,Caprichoso,2022-02-07,1
19,Rauw Alejandro,Hunter,2021-12-23,1
0,NATHY PELUSO,Calambre,2020-10-02,12
1,NATHY PELUSO,Esmeralda,2017-10-05,7
2,NATHY PELUSO,Tonta,2023-04-21,1
3,NATHY PELUSO,Estás Buenísimo,2022-11-11,1
4,NATHY PELUSO,"Emergencia (Presented By Playstation, Horizon Forbidden West)",2022-02-18,1
5,NATHY PELUSO,Vivir Así Es Morir De Amor,2021-12-10,1
6,C. Tangana,Ateo,2021-10-07,1
7,NATHY PELUSO,Spotify Singles,2021-09-28,2
8,NATHY PELUSO,Mafiosa,2021-07-07,1
9,KAROL G,Gato Malo,2021-03-25,1
10,NATHY PELUSO,Puro Veneno - A Colors Encore,2021-02-25,1
11,Bizarrap,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",2020-11-27,1
12,NATHY PELUSO,Sana Sana - A Colors Show,2020-10-01,1
13,NATHY PELUSO,Buenos Aires,2020-05-29,1
14,Rels B,No Se Perdona,2020-04-02,1
15,NATHY PELUSO,Business Woman,2020-02-06,1
16,NATHY PELUSO,Copa Glasé,2019-12-04,1
17,NATHY PELUSO,Natikillah,2019-02-15,1
18,NATHY PELUSO,La Sandunguera,2018-04-06,6
19,NATHY PELUSO,Corashe,2017-11-03,1
0,Marshmello,Shockwave,2021-06-11,12
5,Marshmello,Shockwave (Clean),2021-06-11,12
6,Marshmello,Joytime Iii,2019-07-03,13
7,Marshmello,Joytime Ii,2018-06-22,9
8,Marshmello,Joytime,2016-01-08,10
9,Marshmello,Esta Vida,2023-04-13,1
10,Marshmello,Grown Man,2023-03-31,1
11,Marshmello,El Merengue,2023-03-03,1
12,Marshmello,Old School,2023-02-24,1
13,Marshmello,Again,2023-02-17,1
14,Marshmello,Eternal,2023-02-10,1
15,Marshmello,Unity,2023-02-03,1
16,Marshmello,Party Jumpin',2023-01-13,1
17,Marshmello,Bye Bye,2022-10-14,1
19,Marshmello,Numb (Remixes),2022-08-26,4
0,Manuel Turizo,2000,2023-03-17,15
1,Manuel Turizo,Dopamina,2021-04-09,13
2,Manuel Turizo,Adn,2019-08-23,16
3,Marshmello,El Merengue,2023-03-03,1
4,Manuel Turizo,Éxtasis,2022-10-27,1
5,Jhosy,Aurora (Remix),2022-09-30,1
6,MYA,Mal De Amor,2022-09-01,1
7,Fuego,Bonita,2022-08-18,1
8,Nicky Youre,Sunroof (Feat. Manuel Turizo),2022-08-12,1
9,Piso 21,Los Cachos,2022-07-08,1
10,Manuel Turizo,La Bachata,2022-05-26,1
11,Manuel Turizo,De 100 A 0,2022-02-03,1
12,Luis Fonsi,Vacaciones,2022-01-21,1
13,Nio Garcia,Resaca,2021-12-01,1
14,Tai Verdes,Aok (With Manuel Turizo),2021-11-18,1
16,Ir Sais,Baila Kumi,2021-11-10,1
17,Fuego,Una Vaina Loca,2021-10-21,1
18,Manuel Turizo,Te Olvido,2021-10-07,1
19,TINI,Maldita Foto,2021-08-19,1
0,TINI,Cupido,2023-02-16,14
1,TINI,Tini Tini Tini,2020-12-03,14
2,TINI,Quiero Volver,2018-10-12,11
3,TINI,Tini (Martina Stoessel),2016-10-14,14
4,TINI,Tini (Martina Stoessel) [Deluxe Edition],2016-04-29,21
6,Christian Nodal,Por El Resto De Tu Vida,2023-01-27,1
7,TINI,Muñecas,2023-01-12,1
8,Ozuna,Un Reel,2022-10-06,1
9,TINI,El Último Beso,2022-09-15,1
10,TINI,La Loto,2022-07-06,1
11,Christina Aguilera,Suéltame,2022-05-30,1
12,TINI,La Triple T,2022-05-05,1
13,TINI,Carne Y Hueso,2022-05-03,1
14,TINI,Fantasi,2022-02-16,1
15,TINI,Bar,2021-11-11,1
16,TINI,Aquí Estoy,2021-11-09,1
17,Danny Ocean,Tú No Me Conoces,2021-09-30,1
18,TINI,Maldita Foto,2021-08-19,1
19,MYA,2:50 Remix,2021-06-21,1
0,Bizarrap,"Arcángel: Bzrp Music Sessions, Vol. 54",2023-03-22,1
1,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1
