,artist_name,album_name,release_date,total_tracks
2,Manolo Garcia,Acústico Acústico Acústico (En Directo),2020-07-03,30
3,Manolo Garcia,Geometría Del Rayo - En Directo,2018-11-30,28
4,Manolo Garcia,Geometría Del Rayo,2018-03-16,16
5,Manolo Garcia,Todo Es Ahora (En Directo),2017-10-06,32
6,Manolo Garcia,Todo Es Ahora,2014-11-24,25
7,Manolo Garcia,Los Dias Intactos,2011-11-17,17
10,Manolo Garcia,Saldremos A La Lluvia,2008-11-14,14
11,Manolo Garcia,Para Que No Se Duerman Mis Sentidos,2004-11-14,16
12,Manolo Garcia,Nunca El Tiempo Es Perdido,2004-11-14,14
14,Manolo Garcia,Arena En Los Bolsillos,1998-11-14,14
16,Manolo Garcia,Laberinto De Sueños (En Las Geometrías Del Rayo),2022-03-11,1
17,Manolo Garcia,Un Poco De Amor,2022-02-24,1
18,Andrés Calamaro,Para No Olvidar,2021-03-25,1
0,Platero Y Tu,Colección Definitiva - 25 Años,2016-07-01,35
1,Platero Y Tu,Hay Mucho Rock & Roll- Resumen,2005-11-28,16
2,Platero Y Tu,"Hay Mucho Rock And Roll, Vol.2",2005,18
3,Platero Y Tu,Coleccion,2003,85
4,Platero Y Tu,Correos,2000-10-02,11
5,Platero Y Tu,7,1997,9
6,Platero Y Tu,A Pelo,1996-05-01,21
7,Platero Y Tu,Hay Poco Rock'N'Roll,1994,10
8,Platero Y Tu,Vamos Tirando,1993-04-30,12
9,Platero Y Tu,Muy Deficiente,1992-06-12,10
10,Platero Y Tu,Voy A Acabar Borracho,1991-06-01,12
11,Platero Y Tu,Burrock & Roll,1990-02-24,10
12,Platero Y Tu,El Roce De Tu Cuerpo,2016-02-22,2
13,Platero Y Tu,Juliette,1995-06-26,5
14,Platero Y Tu,Tras La Barra,1993-01-29,4
15,Platero Y Tu,"Hay Mucho Rock & Roll, Vol. 1",2002-11-22,17
16,Various Artists,Rock Para Despertar,2022-03-25,29
17,Various Artists,Míticas Lentas,2022-02-25,30
18,Various Artists,Baladas Rock Español,2021-12-31,30
19,Various Artists,Todo Rock En Español,2021-12-31,30
0,Joaquín Sabina,Sintiéndolo Mucho (Un Viaje Musical Por La Película Documental De Fernando León De Aranoa),2022-12-16,27
1,Joaquín Sabina,Contigo,2020-06-12,18
2,Joaquín Sabina,Sabina 70,2019-09-20,70
3,Lucio Godoy,Tiempo Después (Banda Sonora Oficial De La Película),2019-01-11,12
4,Joaquín Sabina,Lo Niego Todo - En Directo,2018-10-26,10
5,Joaquín Sabina,Lo Niego Todo,2017-03-10,12
6,Joaquín Sabina,Volando De Catorce (Sonetos De Viva Voz),2015-04-01,11
7,Joaquín Sabina,500 Noches Para Una Crisis (En Directo),2015-03-02,24
8,Joan Manuel Serrat,El Simbolo Y El Cuate,2014-05-19,17
9,Joan Manuel Serrat,Serrat & Sabina (En El Luna Park - Argentina),2012-11-05,14
10,Joan Manuel Serrat,La Orquesta Del Titanic,2012-02-07,11
11,Joaquín Sabina,Vinagre Y Rosas,2009-11-17,14
12,Joan Manuel Serrat,Dos Pajaros De Un Tiro,2008-02-19,30
15,Joaquín Sabina,Alivio De Luto,2005-09-20,13
16,Joaquín Sabina,Parece Que Fue Ayer,2003-05-26,33
17,Joaquín Sabina,Dímelo En La Calle,2003-02-03,14
18,Joaquín Sabina,Diario De Un Peaton,2003,26
0,Amparanoia,Himnopsis Colectiva,2021-01-01,13
1,Amparanoia,El Coro De Mi Gente,2017-03-27,15
2,Amparanoia,Seguire Caminando,2008-09-29,24
3,Amparanoia,Séguiré Caminando,2008-06-20,24
4,Amparanoia,La Vida Te Da,2006-02-05,14
6,Amparanoia,Rebeldía Con Alegría,2004-03-15,16
7,Amparanoia,Enchilao,2003-05-05,14
8,Amparanoia,Somos Viento,2002-01-28,12
9,Amparanoia,Feria Furiosa,1999-03-19,12
10,Amparanoia,El Poder De Machín,1997,13
12,Amparanoia,Sidi Beach (Remix),2022-12-09,1
13,Amparanoia,Mi Genética (Charanga Version),2022-11-04,1
14,Amparanoia,El Dia Que No,2020-11-20,1
15,Amparanoia,Mi Genética,2020-10-30,1
16,Amparanoia,La Primavera,2019-05-10,1
17,Amparanoia,No Me Olvides,2018-08-31,1
18,Amparanoia,Vente Pa´Barna,2018-03-16,1
19,Amparanoia,"Dolor, Dolor (Feat. Aterciopelados)",2017-03-24,1
0,Dusminguet,Go>,2015-12-11,14
1,Dusminguet,Postrof,2001,18
2,Dusminguet,Vafalungo,1998,15
3,Dusminguet,El Mundo Al Revés (Remixes),2017-01-27,5
4,Dusminguet,Rock & Roll,2003-04-04,1
6,Dusminguet,Mad Professor Meets Dusminguet,1998-09-24,5
7,Various Artists,Mestizaje,2022-02-18,21
8,Various Artists,Latina Esencial - Grandes Cumbias,2021-12-10,30
9,Various Artists,Latinos Rebeldes,2021-11-26,25
10,Various Artists,Verbena De Verano,2021-07-23,24
11,Various Artists,Botellón A Mogollón,2021-06-25,30
12,Afrikemet,African Heroes,2021-03-26,6
13,Various Artists,Rock Catalán,2021-01-15,29
14,Various Artists,Beats Latinos,2021-01-15,23
15,Various Artists,Hot Pimientos,2020-11-13,25
16,Various Artists,Una Fiesta Del Campo,2020-11-06,50
17,Various Artists,Pop Exotique,2020-10-02,30
18,Various Artists,Baile Latino,2020-08-28,23
19,Various Artists,"Nuevas Músicas, Viejas Tradiciones",2020-06-26,24
0,Thalia,Thalia'S Mixtape,2023-04-28,11
1,Thalia,Desamorfosis,2021-05-14,14
2,Thalia,"Viva Kids, Vol. 2",2020-05-29,15
3,Thalia,Valiente,2018-11-09,13
4,Thalia,Latina,2016-05-06,13
5,Thalia,Amore Mio (Deluxe Edition),2014-11-04,14
6,Thalia,"Viva Kids, Vol. 1",2014-03-25,11
7,Thalia,"Thalía ""Viva Tour"" (En Vivo)",2014-02-25,12
8,Thalia,"Thalia ""Viva Tour"" (En Vivo)",2013-11-19,16
