,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
18,The One,Scott Foster Harris,2021-09-24,False,spotify:track:6Gm8JkAuk16Z1xhxh7K4iV,44,williamdzn,https://open.spotify.com/track/6Gm8JkAuk16Z1xhxh7K4iV,48U6K81Ss0cwMkI1M45JNJ,0.527,0.532,7,-6.95,0,0.0249,0.068,3.26e-06,0.337,0.341,152.027,audio_features,6Gm8JkAuk16Z1xhxh7K4iV,spotify:track:6Gm8JkAuk16Z1xhxh7K4iV,https://api.spotify.com/v1/tracks/6Gm8JkAuk16Z1xhxh7K4iV,https://api.spotify.com/v1/audio-analysis/6Gm8JkAuk16Z1xhxh7K4iV,202758,4
18,The One,Scott Foster Harris,2021-09-24,False,spotify:track:6Gm8JkAuk16Z1xhxh7K4iV,44,williamdzn,https://open.spotify.com/track/6Gm8JkAuk16Z1xhxh7K4iV,1zNHjzbXslomfDoILLW6Fj,0.527,0.532,7,-6.95,0,0.0249,0.068,3.26e-06,0.337,0.341,152.027,audio_features,6Gm8JkAuk16Z1xhxh7K4iV,spotify:track:6Gm8JkAuk16Z1xhxh7K4iV,https://api.spotify.com/v1/tracks/6Gm8JkAuk16Z1xhxh7K4iV,https://api.spotify.com/v1/audio-analysis/6Gm8JkAuk16Z1xhxh7K4iV,202758,4
19,My Heart Can't Tell Me No,Rod Stewart,1996-11-12,False,spotify:track:7CLM0TXEaleWE2Xawq6CFs,51,williamdzn,https://open.spotify.com/track/7CLM0TXEaleWE2Xawq6CFs,2y8Jo9CKhJvtfeKOsYzRdT,0.59,0.669,4,-9.575,0,0.0257,0.459,5.77e-06,0.127,0.444,91.471,audio_features,7CLM0TXEaleWE2Xawq6CFs,spotify:track:7CLM0TXEaleWE2Xawq6CFs,https://api.spotify.com/v1/tracks/7CLM0TXEaleWE2Xawq6CFs,https://api.spotify.com/v1/audio-analysis/7CLM0TXEaleWE2Xawq6CFs,316107,4
20,(Everything I Do) I Do It For You,Bryan Adams,1991-09-24,False,spotify:track:76qB2ZEZlEJAMqMqUjKusp,0,williamdzn,https://open.spotify.com/track/76qB2ZEZlEJAMqMqUjKusp,3Z02hBLubJxuFJfhacLSDc,0.52,0.363,1,-12.655,1,0.0286,0.0752,1.13e-05,0.0609,0.273,131.224,audio_features,76qB2ZEZlEJAMqMqUjKusp,spotify:track:76qB2ZEZlEJAMqMqUjKusp,https://api.spotify.com/v1/tracks/76qB2ZEZlEJAMqMqUjKusp,https://api.spotify.com/v1/audio-analysis/76qB2ZEZlEJAMqMqUjKusp,393640,4
21,Hazard,Richard Marx,1991-01-01,False,spotify:track:1ntKYuqLlmV3sTZoNyeHhM,64,williamdzn,https://open.spotify.com/track/1ntKYuqLlmV3sTZoNyeHhM,0grdhNhiRLFBaFVyybqsj6,0.676,0.582,7,-10.345,0,0.0258,0.175,0.00396,0.0672,0.648,124.838,audio_features,1ntKYuqLlmV3sTZoNyeHhM,spotify:track:1ntKYuqLlmV3sTZoNyeHhM,https://api.spotify.com/v1/tracks/1ntKYuqLlmV3sTZoNyeHhM,https://api.spotify.com/v1/audio-analysis/1ntKYuqLlmV3sTZoNyeHhM,317307,4
22,Linger,The Cranberries,1993-03-01,False,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,79,williamdzn,https://open.spotify.com/track/0gEyKnHvgkrkBM6fbeHdwK,7t0rwkOPGlDPEhaOcVtOt9,0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,audio_features,0gEyKnHvgkrkBM6fbeHdwK,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,https://api.spotify.com/v1/tracks/0gEyKnHvgkrkBM6fbeHdwK,https://api.spotify.com/v1/audio-analysis/0gEyKnHvgkrkBM6fbeHdwK,274707,4
23,I Still Haven't Found What I'm Looking For - Remastered 2007,U2,1987-03-10,False,spotify:track:3MRQ3CSjoiV1HFil8ykM9M,61,williamdzn,https://open.spotify.com/track/3MRQ3CSjoiV1HFil8ykM9M,51Blml2LZPmy7TTiAg47vQ,0.565,0.764,1,-9.43,1,0.0351,0.0139,0.00488,0.079,0.686,100.891,audio_features,3MRQ3CSjoiV1HFil8ykM9M,spotify:track:3MRQ3CSjoiV1HFil8ykM9M,https://api.spotify.com/v1/tracks/3MRQ3CSjoiV1HFil8ykM9M,https://api.spotify.com/v1/audio-analysis/3MRQ3CSjoiV1HFil8ykM9M,277480,4
24,Runaway Train (2022 Remaster),Soul Asylum,1992-10-06,False,spotify:track:3TW48DvQ7ChwY1Yy1tkMaP,72,williamdzn,https://open.spotify.com/track/3TW48DvQ7ChwY1Yy1tkMaP,02da1vDJ2hWqfK7aJL6SJm,0.613,0.72,0,-7.957,1,0.0425,0.0132,0.0,0.104,0.561,117.341,audio_features,3TW48DvQ7ChwY1Yy1tkMaP,spotify:track:3TW48DvQ7ChwY1Yy1tkMaP,https://api.spotify.com/v1/tracks/3TW48DvQ7ChwY1Yy1tkMaP,https://api.spotify.com/v1/audio-analysis/3TW48DvQ7ChwY1Yy1tkMaP,265867,4
25,Wonderwall,Oasis,1995-10-02,False,spotify:track:6oMLn91nQfobyub5vbEDtP,0,williamdzn,https://open.spotify.com/track/6oMLn91nQfobyub5vbEDtP,2DaxqgrOhkeH0fpeiQq2f4,0.41,0.85,2,-5.608,1,0.0364,0.00223,0.0,0.134,0.486,174.431,audio_features,6oMLn91nQfobyub5vbEDtP,spotify:track:6oMLn91nQfobyub5vbEDtP,https://api.spotify.com/v1/tracks/6oMLn91nQfobyub5vbEDtP,https://api.spotify.com/v1/audio-analysis/6oMLn91nQfobyub5vbEDtP,258840,4
26,Peaches,Austin Michael Frink,2021-09-19,False,spotify:track:43rjP0MeDsgYeiUeCJq5Ei,42,williamdzn,https://open.spotify.com/track/43rjP0MeDsgYeiUeCJq5Ei,4XP9HsXOGNF3PzwNqibaYQ,0.44,0.65,9,-6.267,1,0.0437,0.179,0.000197,0.135,0.118,180.109,audio_features,43rjP0MeDsgYeiUeCJq5Ei,spotify:track:43rjP0MeDsgYeiUeCJq5Ei,https://api.spotify.com/v1/tracks/43rjP0MeDsgYeiUeCJq5Ei,https://api.spotify.com/v1/audio-analysis/43rjP0MeDsgYeiUeCJq5Ei,213667,4
