song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Can't Take My Eyes Off Of You - Original Radio Edit,Boys Town Gang,2012-07-17,False,spotify:track:4jbqwpSAOsTV2iGgvjHwJ5,0,12177422298,https://open.spotify.com/track/4jbqwpSAOsTV2iGgvjHwJ5,0yrScqagPyABiZeoNHHe3H,0.691,0.791,10,-7.974,1,0.0373,0.0221,0.0148,0.0643,0.904,128.736,audio_features,4jbqwpSAOsTV2iGgvjHwJ5,spotify:track:4jbqwpSAOsTV2iGgvjHwJ5,https://api.spotify.com/v1/tracks/4jbqwpSAOsTV2iGgvjHwJ5,https://api.spotify.com/v1/audio-analysis/4jbqwpSAOsTV2iGgvjHwJ5,213017,4
Making Love Out of Nothing at All,Air Supply,2018-02-02,False,spotify:track:01MXkFA8sL7at6txavDErt,71,12177422298,https://open.spotify.com/track/01MXkFA8sL7at6txavDErt,4xXCRXOfQKQ2gjWxNhNzYW,0.388,0.72,7,-5.541,1,0.033,0.202,0.000288,0.283,0.554,141.283,audio_features,01MXkFA8sL7at6txavDErt,spotify:track:01MXkFA8sL7at6txavDErt,https://api.spotify.com/v1/tracks/01MXkFA8sL7at6txavDErt,https://api.spotify.com/v1/audio-analysis/01MXkFA8sL7at6txavDErt,341747,4
Boogie Wonderland,"Earth, Wind & Fire",1979-06,False,spotify:track:6ztstiyZL6FXzh4aG46ZPD,77,12177422298,https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD,4QQgXkCYTt3BlENzhyNETg,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,audio_features,6ztstiyZL6FXzh4aG46ZPD,spotify:track:6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/tracks/6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293,4
Boogie Wonderland,"Earth, Wind & Fire",1979-06,False,spotify:track:6ztstiyZL6FXzh4aG46ZPD,77,12177422298,https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD,64CuUOOirKmdAYLQSfaOyr,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,audio_features,6ztstiyZL6FXzh4aG46ZPD,spotify:track:6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/tracks/6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293,4
Boogie Wonderland,The Emotions,1979-06,False,spotify:track:6ztstiyZL6FXzh4aG46ZPD,77,12177422298,https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD,4QQgXkCYTt3BlENzhyNETg,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,audio_features,6ztstiyZL6FXzh4aG46ZPD,spotify:track:6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/tracks/6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293,4
Boogie Wonderland,The Emotions,1979-06,False,spotify:track:6ztstiyZL6FXzh4aG46ZPD,77,12177422298,https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD,64CuUOOirKmdAYLQSfaOyr,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,audio_features,6ztstiyZL6FXzh4aG46ZPD,spotify:track:6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/tracks/6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293,4
Boogie Wonderland,"Earth, Wind & Fire",1979-06,False,spotify:track:6ztstiyZL6FXzh4aG46ZPD,77,12177422298,https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD,4QQgXkCYTt3BlENzhyNETg,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,audio_features,6ztstiyZL6FXzh4aG46ZPD,spotify:track:6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/tracks/6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293,4
Boogie Wonderland,"Earth, Wind & Fire",1979-06,False,spotify:track:6ztstiyZL6FXzh4aG46ZPD,77,12177422298,https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD,64CuUOOirKmdAYLQSfaOyr,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,audio_features,6ztstiyZL6FXzh4aG46ZPD,spotify:track:6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/tracks/6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293,4
Boogie Wonderland,The Emotions,1979-06,False,spotify:track:6ztstiyZL6FXzh4aG46ZPD,77,12177422298,https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD,4QQgXkCYTt3BlENzhyNETg,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,audio_features,6ztstiyZL6FXzh4aG46ZPD,spotify:track:6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/tracks/6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293,4
Boogie Wonderland,The Emotions,1979-06,False,spotify:track:6ztstiyZL6FXzh4aG46ZPD,77,12177422298,https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD,64CuUOOirKmdAYLQSfaOyr,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,audio_features,6ztstiyZL6FXzh4aG46ZPD,spotify:track:6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/tracks/6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293,4
