,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
36,Besos,El Canto Del Loco,2005,False,spotify:track:7MKO7rUZzjw8p87zdZDgqa,64,,https://open.spotify.com/track/7MKO7rUZzjw8p87zdZDgqa,5RK6c1tyaKpwcDpbgCGNgj,0.576,0.909,10,-3.306,1,0.0523,0.00679,4.42e-06,0.134,0.544,104.971,audio_features,7MKO7rUZzjw8p87zdZDgqa,spotify:track:7MKO7rUZzjw8p87zdZDgqa,https://api.spotify.com/v1/tracks/7MKO7rUZzjw8p87zdZDgqa,https://api.spotify.com/v1/audio-analysis/7MKO7rUZzjw8p87zdZDgqa,145827,4
37,Cacho a Cacho,Estopa,1999-10-18,False,spotify:track:6VVBXRsXAuN5UvqKNw7j0l,63,,https://open.spotify.com/track/6VVBXRsXAuN5UvqKNw7j0l,5ZqnEfVdEGmoPxtELhN7ai,0.456,0.843,0,-8.682,1,0.0559,0.105,0.00176,0.0939,0.842,79.608,audio_features,6VVBXRsXAuN5UvqKNw7j0l,spotify:track:6VVBXRsXAuN5UvqKNw7j0l,https://api.spotify.com/v1/tracks/6VVBXRsXAuN5UvqKNw7j0l,https://api.spotify.com/v1/audio-analysis/6VVBXRsXAuN5UvqKNw7j0l,148747,4
38,"Marta, Sebas, Guille y los demás",Amaral,2005-03-14,False,spotify:track:30ddpolNHwXlrS5XO8MiiO,62,,https://open.spotify.com/track/30ddpolNHwXlrS5XO8MiiO,4OkeTQCk0fvX6VBYpOOxDi,0.598,0.853,2,-4.559,1,0.0506,0.269,0.0,0.112,0.66,102.473,audio_features,30ddpolNHwXlrS5XO8MiiO,spotify:track:30ddpolNHwXlrS5XO8MiiO,https://api.spotify.com/v1/tracks/30ddpolNHwXlrS5XO8MiiO,https://api.spotify.com/v1/audio-analysis/30ddpolNHwXlrS5XO8MiiO,223187,4
39,Con la luna llena,Melendi,2006-07-03,False,spotify:track:5VwYcCKNAgDqDJ9ah9tDGl,61,,https://open.spotify.com/track/5VwYcCKNAgDqDJ9ah9tDGl,1EXjXQpDx2pROygh8zvHs4,0.68,0.856,4,-6.516,1,0.158,0.702,0.0,0.0893,0.673,163.941,audio_features,5VwYcCKNAgDqDJ9ah9tDGl,spotify:track:5VwYcCKNAgDqDJ9ah9tDGl,https://api.spotify.com/v1/tracks/5VwYcCKNAgDqDJ9ah9tDGl,https://api.spotify.com/v1/audio-analysis/5VwYcCKNAgDqDJ9ah9tDGl,228213,4
40,Carolina - En directo 2000,M-Clan,2001,False,spotify:track:4UtREbGYnd1nZLckEb5y8J,61,,https://open.spotify.com/track/4UtREbGYnd1nZLckEb5y8J,4oVqMVHC03xnYJ7fyb1dh6,0.649,0.9,7,-4.135,1,0.0306,0.146,0.0,0.694,0.86,123.978,audio_features,4UtREbGYnd1nZLckEb5y8J,spotify:track:4UtREbGYnd1nZLckEb5y8J,https://api.spotify.com/v1/tracks/4UtREbGYnd1nZLckEb5y8J,https://api.spotify.com/v1/audio-analysis/4UtREbGYnd1nZLckEb5y8J,263680,4
41,Me equivocaría otra vez,Fito y Fitipaldis,2006-09-11,False,spotify:track:5SMdW9cbM4wTMMPI8Ck08a,64,,https://open.spotify.com/track/5SMdW9cbM4wTMMPI8Ck08a,1tZ99AnqyjgrmPwLfGU5eo,0.739,0.748,7,-3.806,0,0.0269,0.355,2.54e-06,0.177,0.822,132.86,audio_features,5SMdW9cbM4wTMMPI8Ck08a,spotify:track:5SMdW9cbM4wTMMPI8Ck08a,https://api.spotify.com/v1/tracks/5SMdW9cbM4wTMMPI8Ck08a,https://api.spotify.com/v1/audio-analysis/5SMdW9cbM4wTMMPI8Ck08a,306240,4
42,Copenhague,Vetusta Morla,2008-04-21,False,spotify:track:4bZEZhCq2kqUxnMacXVl5x,61,,https://open.spotify.com/track/4bZEZhCq2kqUxnMacXVl5x,6J6yx1t3nwIDyPXk5xa7O8,0.559,0.742,9,-3.945,1,0.0243,0.411,0.0107,0.133,0.482,92.959,audio_features,4bZEZhCq2kqUxnMacXVl5x,spotify:track:4bZEZhCq2kqUxnMacXVl5x,https://api.spotify.com/v1/tracks/4bZEZhCq2kqUxnMacXVl5x,https://api.spotify.com/v1/audio-analysis/4bZEZhCq2kqUxnMacXVl5x,303693,4
43,Quiero Ser,Amaia Montero,2008-11-18,False,spotify:track:2SxtZcr9RPVvKnVPqUmiPe,60,,https://open.spotify.com/track/2SxtZcr9RPVvKnVPqUmiPe,4LbuSjHhhAddvN44qXpRJo,0.667,0.655,7,-4.755,1,0.0293,0.536,1.04e-06,0.115,0.636,137.052,audio_features,2SxtZcr9RPVvKnVPqUmiPe,spotify:track:2SxtZcr9RPVvKnVPqUmiPe,https://api.spotify.com/v1/tracks/2SxtZcr9RPVvKnVPqUmiPe,https://api.spotify.com/v1/audio-analysis/2SxtZcr9RPVvKnVPqUmiPe,256720,4
44,Una Foto en Blanco y Negro,El Canto Del Loco,2003,False,spotify:track:1LuW4h5s9ZumBbMh7qhDDj,62,,https://open.spotify.com/track/1LuW4h5s9ZumBbMh7qhDDj,5RK6c1tyaKpwcDpbgCGNgj,0.545,0.875,1,-3.714,1,0.0337,0.0737,0.0,0.215,0.675,139.008,audio_features,1LuW4h5s9ZumBbMh7qhDDj,spotify:track:1LuW4h5s9ZumBbMh7qhDDj,https://api.spotify.com/v1/tracks/1LuW4h5s9ZumBbMh7qhDDj,https://api.spotify.com/v1/audio-analysis/1LuW4h5s9ZumBbMh7qhDDj,209893,4
45,Vacaciones,Estopa,2005-11-16,False,spotify:track:3Aj18tBmQKLTGU3KEpbZ40,62,,https://open.spotify.com/track/3Aj18tBmQKLTGU3KEpbZ40,5ZqnEfVdEGmoPxtELhN7ai,0.738,0.803,9,-9.14,1,0.0483,0.509,1.52e-05,0.163,0.968,98.016,audio_features,3Aj18tBmQKLTGU3KEpbZ40,spotify:track:3Aj18tBmQKLTGU3KEpbZ40,https://api.spotify.com/v1/tracks/3Aj18tBmQKLTGU3KEpbZ40,https://api.spotify.com/v1/audio-analysis/3Aj18tBmQKLTGU3KEpbZ40,192387,4
46,Como un lobo (Dueto 2007),Miguel Bosé,2007,False,spotify:track:0rX7mbNXYmAolFCY2TYVPH,60,,https://open.spotify.com/track/0rX7mbNXYmAolFCY2TYVPH,7mWCSSOYqm4E9mB7V4ot6S,0.573,0.887,9,-5.844,1,0.0356,0.0266,4.15e-06,0.0911,0.764,159.937,audio_features,0rX7mbNXYmAolFCY2TYVPH,spotify:track:0rX7mbNXYmAolFCY2TYVPH,https://api.spotify.com/v1/tracks/0rX7mbNXYmAolFCY2TYVPH,https://api.spotify.com/v1/audio-analysis/0rX7mbNXYmAolFCY2TYVPH,211973,4
46,Como un lobo (Dueto 2007),Miguel Bosé,2007,False,spotify:track:0rX7mbNXYmAolFCY2TYVPH,60,,https://open.spotify.com/track/0rX7mbNXYmAolFCY2TYVPH,0AkI71ECC3U8xmKMGMmkdK,0.573,0.887,9,-5.844,1,0.0356,0.0266,4.15e-06,0.0911,0.764,159.937,audio_features,0rX7mbNXYmAolFCY2TYVPH,spotify:track:0rX7mbNXYmAolFCY2TYVPH,https://api.spotify.com/v1/tracks/0rX7mbNXYmAolFCY2TYVPH,https://api.spotify.com/v1/audio-analysis/0rX7mbNXYmAolFCY2TYVPH,211973,4
46,Como un lobo (Dueto 2007),Bimba Bosé,2007,False,spotify:track:0rX7mbNXYmAolFCY2TYVPH,60,,https://open.spotify.com/track/0rX7mbNXYmAolFCY2TYVPH,7mWCSSOYqm4E9mB7V4ot6S,0.573,0.887,9,-5.844,1,0.0356,0.0266,4.15e-06,0.0911,0.764,159.937,audio_features,0rX7mbNXYmAolFCY2TYVPH,spotify:track:0rX7mbNXYmAolFCY2TYVPH,https://api.spotify.com/v1/tracks/0rX7mbNXYmAolFCY2TYVPH,https://api.spotify.com/v1/audio-analysis/0rX7mbNXYmAolFCY2TYVPH,211973,4
46,Como un lobo (Dueto 2007),Bimba Bosé,2007,False,spotify:track:0rX7mbNXYmAolFCY2TYVPH,60,,https://open.spotify.com/track/0rX7mbNXYmAolFCY2TYVPH,0AkI71ECC3U8xmKMGMmkdK,0.573,0.887,9,-5.844,1,0.0356,0.0266,4.15e-06,0.0911,0.764,159.937,audio_features,0rX7mbNXYmAolFCY2TYVPH,spotify:track:0rX7mbNXYmAolFCY2TYVPH,https://api.spotify.com/v1/tracks/0rX7mbNXYmAolFCY2TYVPH,https://api.spotify.com/v1/audio-analysis/0rX7mbNXYmAolFCY2TYVPH,211973,4
47,Fuego en el Fuego,Eros Ramazzotti,2000-10-30,False,spotify:track:5zGJT3TTShcNHeJeDrjPvs,60,,https://open.spotify.com/track/5zGJT3TTShcNHeJeDrjPvs,61J0BktHv7PuP3tjTPYXSX,0.796,0.856,9,-3.851,1,0.0286,0.14,0.0,0.0912,0.961,126.987,audio_features,5zGJT3TTShcNHeJeDrjPvs,spotify:track:5zGJT3TTShcNHeJeDrjPvs,https://api.spotify.com/v1/tracks/5zGJT3TTShcNHeJeDrjPvs,https://api.spotify.com/v1/audio-analysis/5zGJT3TTShcNHeJeDrjPvs,240893,4
48,Feo Fuerte y Formal,Loquillo Y Los Trogloditas,2001,False,spotify:track:24w139jhWNnuQjnlhlzLvi,60,,https://open.spotify.com/track/24w139jhWNnuQjnlhlzLvi,4EM1gc21UrYHQ3eal963Xl,0.716,0.879,5,-6.179,0,0.0349,0.0454,0.0,0.243,0.905,126.368,audio_features,24w139jhWNnuQjnlhlzLvi,spotify:track:24w139jhWNnuQjnlhlzLvi,https://api.spotify.com/v1/tracks/24w139jhWNnuQjnlhlzLvi,https://api.spotify.com/v1/audio-analysis/24w139jhWNnuQjnlhlzLvi,242267,4
49,Volvera,El Canto Del Loco,2005,False,spotify:track:4QBrx05HrLnohYaS1cPGHO,61,,https://open.spotify.com/track/4QBrx05HrLnohYaS1cPGHO,5RK6c1tyaKpwcDpbgCGNgj,0.568,0.892,1,-3.091,1,0.0464,0.0111,0.0,0.379,0.783,126.02,audio_features,4QBrx05HrLnohYaS1cPGHO,spotify:track:4QBrx05HrLnohYaS1cPGHO,https://api.spotify.com/v1/tracks/4QBrx05HrLnohYaS1cPGHO,https://api.spotify.com/v1/audio-analysis/4QBrx05HrLnohYaS1cPGHO,229747,4
