,artist_name,artist_id,followers,genres,popularity
0,Chris Isaak,7290H8m1Dwt8G7jm1y9CQx,407944,['mellow gold'],65
0,Cutting Crew,3cniTumSiUysiPWXapGx1i,367604,"['album rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",61
0,Boy George,2BWfZGPtsjRlRp7JTDqI45,520930,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",46
0,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,2681042,"['memphis soul', 'motown', 'soul']",67
0,Foreigner,6IRouO5mvvfcyxtPDKMYFN,2771794,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",70
0,Sade,47zz7sob9NUcODy0BTDvKx,3195930,"['british soul', 'sophisti-pop']",73
0,Savage,2t97iXd3qCH0qMvf83HziW,20058,"['italian disco', 'new italo disco']",42
0,Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,3051361,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",70
0,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,26940990,"['r&b', 'soul']",83
0,Siedah Garrett,7EVlecngyrLHfQUqFMpwkT,8427,['freestyle'],55
0,Pet Shop Boys,2ycnb8Er79LoH2AsR5ldjh,1551454,"['art pop', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",68
0,Kraftwerk,0dmPX6ovclgOy8WWJaFEUU,700002,"['art rock', 'dusseldorf electronic', 'early synthpop', 'electro', 'new wave', 'proto-techno', 'synthpop']",54
0,DJ Snake,540vIaP2JwjQb9dm3aArA4,8467474,"['edm', 'electronic trap', 'pop', 'pop dance']",78
0,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,71434988,"['canadian pop', 'pop']",90
0,Maroon 5,04gDigrS5kc9YWfZHwBETP,40301460,['pop'],86
0,Cardi B,4kYSro6naA4h99UJvo89HB,21420775,"['pop', 'rap']",81
0,Robbie Williams,2HcwFjNelS49kFbfvMxQYw,2657030,"['dance rock', 'europop']",71
0,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,20037648,"['pop', 'viral pop']",83
0,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,41788925,"['pop', 'post-teen pop']",86
0,Laid Back,2OLmN3LLWtLF7zerL4VdaX,50878,['classic danish pop'],53
0,Limahl,7LTzUnZaptYfAFmvqW5M6D,60046,"['italian disco', 'new romantic', 'new wave pop', 'synthpop']",50
0,Kool & The Gang,3VNITwohbvU5Wuy5PC6dsI,2246514,"['disco', 'funk', 'motown', 'soul']",68
0,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,8381856,"['british soul', 'neo soul']",76
0,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,6591896,"['album rock', 'classic rock', 'mellow gold', 'rock']",76
0,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,5325775,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']",72
